x,y_0_5,y_1_0,y_1_5,y_2_0,y_2_5,y_3_0,y_3_5,y_4_0,y_8_0
-1.7667667667667666,0.0661723781363848,0.08544230318957885,0.05290725358839232,0.024876548389113632,0.00889222132277535,0.0022544351493597853,0.0003641666420184151,3.2365487851044995e-05,3.1231075455883594e-42
-1.7567567567567566,0.06642237075134964,0.08630187649101409,0.05397225279398983,0.025769613684378415,0.009428110717615495,0.0024746699825313333,0.00042071132766769955,4.02874474028274e-05,2.12201184785567e-40
-1.7467467467467466,0.06667402511253712,0.08717009733860574,0.05505556827050669,0.026689390817595162,0.009991318248285724,0.0027135519915351546,0.00048504456827683587,4.996268099548491e-05,1.222559998401124e-38
-1.7367367367367366,0.0669273591391651,0.08804705272906993,0.05615743447125314,0.027636458006930188,0.010582913256168907,0.0029723704187874828,0.0005580846126580444,6.173456896073912e-05,6.005768138597775e-37
-1.7267267267267266,0.06718239103329257,0.08893283053433397,0.05727808673532166,0.02861139735233169,0.011203987726365132,0.0032524771521056867,0.0006408360865344411,7.6003924400354e-05,2.529235299332586e-35
-1.7167167167167166,0.06743913928583133,0.08982751951034115,0.058417761225249255,0.02961479449849311,0.011855655664374734,0.003555287552682311,0.000734395323413982,9.323664338934577e-05,9.179348137036813e-34
-1.7067067067067065,0.06769762268271969,0.09073120930594418,0.059576694862397916,0.03064723828227909,0.012539052397510428,0.0038822811020537812,0.0008399556957701209,0.00011397202329036989,2.885698123956854e-32
-1.6966966966966965,0.06795786031126423,0.09164399047188816,0.060755125260011526,0.031709320364497286,0.013255333799344802,0.0042350018528058975,0.0009588129032023476,0.00013883174947041147,7.896911806573116e-31
-1.6866866866866865,0.06821987156665386,0.09256595446988382,0.061953290653908054,0.03280163484591757,0.014005675435656253,0.004615058667891999,0.0010923701703932649,0.00016852953988308003,1.890252152086176e-29
-1.6766766766766765,0.06848367615865358,0.0934971936817721,0.06317142983076489,0.033924777867459,0.014791271630505238,0.00502412523368134,0.0012421433040073113,0.0002038814247477402,3.976182161029745e-28
-1.6666666666666665,0.06874929411848231,0.09443780141878093,0.06440978205395599,0.03507934719448489,0.015613334451253713,0.005463939832208056,0.0014097655542537862,0.00024581662499403287,7.383556535387591e-27
-1.6566566566566565,0.06901674580588205,0.09538787193087508,0.06566858698689902,0.03626594178516692,0.0164730926115331,0.005936304858559294,0.001596992223729111,0.00029538897836302563,1.215706006909814e-25
-1.6466466466466465,0.06928605191638458,0.0963475004162002,0.0669480846138699,0.03748516134290059,0.0173717902913696,0.0064430860699271186,0.0018057049634261323,0.00035378884622459485,1.7824175288388846e-24
-1.6366366366366365,0.06955723348878223,0.09731678303062168,0.06824851515824346,0.038737605852776275,0.018310685873890977,0.006986211553553863,0.0020379156935172236,0.0004223554174898883,2.3367237184667276e-23
